tweet_no,word,tag,ner
0, ,_SP,O
0,Kris,NNP,U-ARTIST
0,feat,NN,O
0,Dante,NNP,O
0,Thomas,NNP,O
0,Diese,NNP,O
0,Tage,NNP,O
0,Radio,NNP,O
0,TEDDY,NNP,O
0, ,_SP,O
0,In,IN,O
0,auf,NNP,O
0,902,CD,O
1, ,_SP,O
1,Rosenstolz,NNP,U-ARTIST
1,Lied,NNP,O
1,von,NNP,O
1,den,NNP,O
1,Vergessenen,NNP,O
1,Radio,NNP,O
1,TEDDY,NNP,O
1, ,_SP,O
1,In,IN,O
1,auf,NNP,O
1,1029,CD,O
2,train,VB,U-ARTIST
2, ,_SP,O
2,drive,NN,O
2,by,IN,O
3,Justin,NNP,B-ARTIST
3,Bieber,NNP,L-ARTIST
3,Pray,NNP,O
4,Excision,NN,U-ARTIST
4, ,_SP,O
4,execute,VB,O
5,Plastikman,NNP,U-ARTIST
5,Disconnect,NNP,O
6,Stevie,NNP,B-ARTIST
6,Ray,NNP,I-ARTIST
6,Vaughan,NNP,I-ARTIST
6,And,CC,I-ARTIST
6,Double,JJ,I-ARTIST
6,Trouble,NNP,L-ARTIST
6,Wham,NNP,O
7,Hungry,JJ,O
7,eyes,NNS,O
7, ,_SP,O
7,Culcha,NNP,B-ARTIST
7,Candela,NNP,L-ARTIST
8,Untuk,NNP,O
8,Mencintaimu,NNP,O
8, ,_SP,O
8,Seventeen,NNP,U-ARTIST
9,Boyz,NNP,O
9,II,NNP,O
9,Men,NNPS,O
9, ,_SP,O
9,Please,UH,O
9,Do,VBP,O
9,n't,RB,O
9,Go,VB,O
10,Miley,NNP,B-ARTIST
10,Cyrus,NNP,L-ARTIST
10,Stay,VBP,O
11,The,DT,B-ARTIST
11,Kinks,NNP,L-ARTIST
11,Waterloo,NNP,O
11,Sunset,NNP,O
12,Ice,NNP,B-ARTIST
12,Cube,NNP,L-ARTIST
12,It,PRP,O
12,Was,VBD,O
12,A,DT,O
12,Good,NNP,O
12,Day,NNP,O
13,Justin,NNP,B-ARTIST
13,Bieber,NNP,L-ARTIST
13, ,_SP,O
13,Boyfriend,NNP,O
14,Gloria,NNP,B-ARTIST
14,Estefan,NNP,L-ARTIST
14, ,_SP,O
14,Cuts,VBZ,O
14,Both,DT,O
14,Ways,NNS,O
15, ,_SP,O
15,Revolverheld,NNP,U-ARTIST
15,Spinner,NNP,O
15,Radio,NNP,O
15,TEDDY,NNP,O
15, ,_SP,O
15,In,IN,O
15,auf,NNP,O
15,917,CD,O
16,No,UH,O
16,Worries,NNS,O
16, ,_SP,O
16,Simon,NNP,B-ARTIST
16,Webbe,NNP,L-ARTIST
17,Purple,NNP,B-ARTIST
17,Hearts,NNPS,L-ARTIST
17,Frustration,NNP,O
18,Katy,NNP,B-ARTIST
18,Perry,NNP,L-ARTIST
18, ,_SP,O
18,Teenage,NNP,O
18,Dream,NNP,O
18, ,_SP,O
18,The,DT,O
18,Complete,NNP,O
18,Confection,NNP,O
19,Janne,NNP,B-ARTIST
19,Da,NNP,I-ARTIST
19,Arc,NNP,L-ARTIST
19, ,_SP,O
19,HEAVEN,NNP,O
20, ,_SP,O
20,Katy,NNP,B-ARTIST
20,Perry,NNP,L-ARTIST
20,The,DT,O
20,One,NN,O
20,That,WDT,O
20,Got,VBD,O
20,Away,RB,O
20,BB,NNP,O
20,RADIO,NNP,O
20, ,_SP,O
20,In,IN,O
20,auf,NNP,O
20,1075,CD,O
21,kill,VB,O
21,everybody,NN,O
21,by,IN,O
21,skrillex,NN,U-ARTIST
22, ,_SP,O
22,Madcon,NNP,U-ARTIST
22,Freaky,NNP,O
22,Like,IN,O
22,Me,PRP,O
22,BB,NNP,O
22,RADIO,NNP,O
22, ,_SP,O
22,In,IN,O
22,auf,NNP,O
22,1021,CD,O
23, ,_SP,O
23,Alicia,NNP,B-ARTIST
23,Keys,NNP,L-ARTIST
23,Empire,NNP,O
23,State,NNP,O
23,Of,IN,O
23,Mind,NNP,O
23,Part,NNP,O
23,II,NNP,O
23,Broken,VBN,O
23,Down,RP,O
24,Rod,NNP,B-ARTIST
24,Stewart,NNP,L-ARTIST
24,My,PRP$,O
24,Way,NN,O
24,Of,IN,O
24,Giving,VBG,O
25,Jurassic,NNP,B-ARTIST
25,5,CD,L-ARTIST
25,Concrete,NNP,O
25,Schoolyard,NNP,O
26, ,_SP,O
26,Avicii,NNP,O
26,Levels,NNP,O
26,Radio,NNP,O
26,TEDDY,NNP,O
26, ,_SP,O
26,In,IN,O
26,auf,NNP,O
26,1029,CD,O
27,You,PRP,O
27,Only,RB,O
27,Live,VBP,O
27,Once,IN,O
27, ,_SP,O
27,The,DT,B-ARTIST
27,Strokes,NNPS,L-ARTIST
27,foooooooooooooda,VBP,O
28, ,_SP,O
28,Mark,NNP,O
28,Ronson,NNP,O
28,feat,NN,O
28,Amy,NNP,B-ARTIST
28,Winehouse,NNP,L-ARTIST
28,Valerie,NNP,O
28,BB,NNP,O
28,RADIO,NNP,O
28, ,_SP,O
28,Voll,NNP,O
28,die,VBP,O
28,Vielfalt,NNP,O
29,Paseo,NNP,O
29,InmoralCerati,NNP,O
30, ,_SP,O
30,Emeli,NNP,B-ARTIST
30,Sande,NNP,L-ARTIST
30,Next,NNP,O
30,To,IN,O
30,Me,PRP,O
30,Radio,NNP,O
30,TEDDY,NNP,O
30, ,_SP,O
30,In,IN,O
30,auf,NNP,O
30,917,CD,O
31,Luomo,NN,U-ARTIST
31,Good,NNP,O
31,Stuff,NNP,O
32, ,_SP,O
32,Medina,NNP,U-ARTIST
32,Forever,NNP,O
32,BB,NNP,O
32,RADIO,NNP,O
32, ,_SP,O
32,In,IN,O
32,auf,NNP,O
32,1037,CD,O
33, ,_SP,O
33,Loreen,NNP,U-ARTIST
33,Euphoria,NNP,O
33,BB,NN,O
33,RADIO,NNP,O
33, ,_SP,O
33,In,IN,O
33,auf,NNP,O
33,954,CD,O
34,Jessie,NNP,B-ARTIST
34,J,NNP,L-ARTIST
34,Domino,NNP,O
35, ,_SP,O
35,BILLY,NNP,B-ARTIST
35,IDOL,NNP,L-ARTIST
35,Oh,UH,O
35,christmas,NN,O
35,tree,NN,O
35,Radio,NNP,O
35,TEDDY,NNP,O
35, ,_SP,O
35,In,IN,O
35,auf,NNP,O
35,902,CD,O
36, ,_SP,O
36,Train,NNP,U-ARTIST
36,Drive,NNP,O
36,By,IN,O
36,BB,NNP,O
36,RADIO,NNP,O
36, ,_SP,O
36,In,IN,O
36,auf,NNP,O
36,1075,CD,O
37,Gusttavo,NNP,B-ARTIST
37,lima,NNP,L-ARTIST
37, ,_SP,O
37,balada,NNP,O
38, ,_SP,O
38,Patrick,NNP,B-ARTIST
38,Swayze,NNP,L-ARTIST
38,She,PRP,O
38,'s,VBZ,O
38,Like,IN,O
38,The,DT,O
38,Wind,NNP,O
38,BB,NNP,O
38,RADIO,NNP,O
38, ,_SP,O
38,In,IN,O
38,auf,NNP,O
38,1075,CD,O
39, ,_SP,O
39,Medina,NNP,U-ARTIST
39,Forever,NNP,O
39,BB,NNP,O
39,RADIO,NNP,O
39, ,_SP,O
39,In,IN,O
39,auf,NNP,O
39,1021,CD,O
40, ,_SP,O
40,David,NNP,O
40,Guetta,NNP,O
40,feat,NN,O
40,Nicki,NNP,B-ARTIST
40,Minaj,NNP,L-ARTIST
40,Turn,VB,O
40,Me,PRP,O
40,On,IN,O
41,Ryksopp,NNP,O
41, ,_SP,O
41,It,PRP,O
41,'s,VBZ,O
41,What,WP,O
41,I,PRP,O
41,Want,VBP,O
42,Driving,VBG,O
42,to,IN,O
42,game,NN,O
42,windows,NNS,O
42,down,RP,O
42,blaring,VBG,O
42,Cher,NNP,O
42,pumped,VBD,O
42,Believe,NNP,O
42,by,IN,O
42,Cher,NNP,U-ARTIST
43, ,_SP,O
43,Adele,NNP,U-ARTIST
43,Rolling,NNP,O
43,In,IN,O
43,The,DT,O
43,Deep,NNP,O
43,Radio,NNP,O
43,TEDDY,NNP,O
44,Coldplay,VB,U-ARTIST
44, ,_SP,O
44,Charlie,NNP,O
44,Brown,NNP,O
45,they,PRP,O
45,call,VBP,O
45,it,PRP,O
45,arrogance,NN,O
45,I,PRP,O
45,call,VBP,O
45,it,PRP,O
45,confidence,NN,O
45,Ego,NNP,O
45,Beyonce,NNP,U-ARTIST
45,','',O
46, ,_SP,O
46,Lady,NNP,B-ARTIST
46,Gaga,NNP,L-ARTIST
46,The,DT,O
46,Edge,NNP,O
46,Of,IN,O
46,Glory,NNP,O
46,plays,VBZ,O
46,the,DT,O
47,Goo,NNP,B-ARTIST
47,Goo,NNP,I-ARTIST
47,Dolls,NNP,L-ARTIST
47,Give,VBP,O
47,a,DT,O
47,Little,JJ,O
47,Bit,NN,O
48, ,_SP,O
48,ROSENSTOLZ,NNP,U-ARTIST
48,Lied,NNP,O
48,von,NNP,O
48,den,NNP,O
48,vergessenen,NN,O
48,Radio,NNP,O
48,TEDDY,NNP,O
48, ,_SP,O
48,In,IN,O
48,auf,NNP,O
48,917,CD,O
49, ,_SP,O
49,Lady,NNP,B-ARTIST
49,Gaga,NNP,L-ARTIST
49,Alejandro,NNP,O
49,plays,VBZ,O
49,the,DT,O
50, ,_SP,O
50,Ivy,NNP,B-ARTIST
50,Quainoo,NNP,L-ARTIST
50,Do,VBP,O
50,You,PRP,O
50,Like,VB,O
50,What,WP,O
50,You,PRP,O
50,See,VBP,O
51,Bottlez,NNP,O
51, ,_SP,O
51,T,NNP,O
51,Pain,NNP,O
51,ft,NNP,O
51,Detail,NNP,U-ARTIST
52,Get,VB,O
52,Out,RP,O
52,Safe,NNP,O
52,Camp,NNP,O
52,Sessions,NNPS,O
52,Acoustic,NNP,O
52,Version,NNP,O
52,Circa,NNP,B-ARTIST
52,Survive,NNP,L-ARTIST
53,Tuna,NNP,O
53,Roll,NNP,O
53, ,_SP,O
53,Kid,NNP,B-ARTIST
53,Ink,NNP,L-ARTIST
54,Tyga,NNP,U-ARTIST
54, ,_SP,O
54,Black,NNP,O
54,Crowns,NNP,O
55,Fix,VB,O
55,You,PRP,O
55,by,IN,O
56,Blue,NNP,U-ARTIST
56,Jeans,NNPS,O
56, ,_SP,O
56,Lana,NNP,O
56,Del,NNP,O
56,Rey,NNP,O
57, ,_SP,O
57,Xavier,NNP,B-ARTIST
57,Naidoo,NNP,L-ARTIST
57,Was,VBD,O
57,wir,NN,O
57,alleine,JJ,O
57,nicht,NNS,O
57,schaffen,VBP,O
57,Radio,NNP,O
57,TEDDY,NNP,O
57, ,_SP,O
57,In,IN,O
57,auf,NNP,O
57,917,CD,O
58,Lies,VBZ,O
58,Greed,NNP,O
58,Misery,NNP,O
58, ,_SP,O
58,Linkin,NNP,B-ARTIST
