tweet_no,word,tag,ner
0, ,_SP,O
0,Kris,NNP,O
0,feat,NN,O
0,Dante,NNP,O
0,Thomas,NNP,O
0,Diese,NNP,B-TRACK
0,Tage,NNP,L-TRACK
0,Radio,NNP,O
0,TEDDY,NNP,O
0, ,_SP,O
0,In,IN,O
0,auf,NNP,O
0,902,CD,O
1, ,_SP,O
1,Rosenstolz,NNP,O
1,Lied,NNP,B-TRACK
1,von,NNP,I-TRACK
1,den,NNP,I-TRACK
1,Vergessenen,NNP,L-TRACK
1,Radio,NNP,O
1,TEDDY,NNP,O
1, ,_SP,O
1,In,IN,O
1,auf,NNP,O
1,1029,CD,O
2,train,VB,O
2, ,_SP,O
2,drive,NN,B-TRACK
2,by,IN,L-TRACK
3,Justin,NNP,O
3,Bieber,NNP,O
3,Pray,NNP,U-TRACK
4,Excision,NN,O
4, ,_SP,O
4,execute,VB,U-TRACK
5,Plastikman,NNP,O
5,Disconnect,NNP,U-TRACK
6,Stevie,NNP,O
6,Ray,NNP,O
6,Vaughan,NNP,O
6,And,CC,O
6,Double,JJ,O
6,Trouble,NNP,O
6,Wham,NNP,U-TRACK
7,Hungry,JJ,B-TRACK
7,eyes,NNS,L-TRACK
7, ,_SP,O
7,Culcha,NNP,O
7,Candela,NNP,O
8,Untuk,NNP,B-TRACK
8,Mencintaimu,NNP,L-TRACK
8, ,_SP,O
8,Seventeen,NNP,O
9,Boyz,NNP,O
9,II,NNP,O
9,Men,NNPS,O
9, ,_SP,O
9,Please,UH,B-TRACK
9,Do,VBP,I-TRACK
9,n't,RB,I-TRACK
9,Go,VB,L-TRACK
10,Miley,NNP,O
10,Cyrus,NNP,O
10,Stay,VBP,U-TRACK
11,The,DT,O
11,Kinks,NNP,O
11,Waterloo,NNP,B-TRACK
11,Sunset,NNP,L-TRACK
12,Ice,NNP,O
12,Cube,NNP,O
12,It,PRP,B-TRACK
12,Was,VBD,I-TRACK
12,A,DT,I-TRACK
12,Good,NNP,I-TRACK
12,Day,NNP,L-TRACK
13,Justin,NNP,O
13,Bieber,NNP,O
13, ,_SP,O
13,Boyfriend,NNP,U-TRACK
14,Gloria,NNP,O
14,Estefan,NNP,O
14, ,_SP,O
14,Cuts,VBZ,B-TRACK
14,Both,DT,I-TRACK
14,Ways,NNS,L-TRACK
15, ,_SP,O
15,Revolverheld,NNP,O
15,Spinner,NNP,U-TRACK
15,Radio,NNP,O
15,TEDDY,NNP,O
15, ,_SP,O
15,In,IN,O
15,auf,NNP,O
15,917,CD,O
16,No,UH,B-TRACK
16,Worries,NNS,L-TRACK
16, ,_SP,O
16,Simon,NNP,O
16,Webbe,NNP,O
17,Purple,NNP,O
17,Hearts,NNPS,O
17,Frustration,NNP,U-TRACK
18,Katy,NNP,O
18,Perry,NNP,O
18, ,_SP,O
18,Teenage,NNP,B-TRACK
18,Dream,NNP,L-TRACK
18, ,_SP,O
18,The,DT,O
18,Complete,NNP,O
18,Confection,NNP,O
19,Janne,NNP,O
19,Da,NNP,O
19,Arc,NNP,O
19, ,_SP,O
19,HEAVEN,NNP,U-TRACK
20, ,_SP,O
20,Katy,NNP,O
20,Perry,NNP,O
20,The,DT,B-TRACK
20,One,NN,I-TRACK
20,That,WDT,I-TRACK
20,Got,VBD,I-TRACK
20,Away,RB,L-TRACK
20,BB,NNP,O
20,RADIO,NNP,O
20, ,_SP,O
20,In,IN,O
20,auf,NNP,O
20,1075,CD,O
21,kill,VB,B-TRACK
21,everybody,NN,L-TRACK
21,by,IN,O
21,skrillex,NN,O
22, ,_SP,O
22,Madcon,NNP,O
22,Freaky,NNP,B-TRACK
22,Like,IN,I-TRACK
22,Me,PRP,L-TRACK
22,BB,NNP,O
22,RADIO,NNP,O
22, ,_SP,O
22,In,IN,O
22,auf,NNP,O
22,1021,CD,O
23, ,_SP,O
23,Alicia,NNP,O
23,Keys,NNP,O
23,Empire,NNP,B-TRACK
23,State,NNP,I-TRACK
23,Of,IN,I-TRACK
23,Mind,NNP,L-TRACK
23,Part,NNP,O
23,II,NNP,O
23,Broken,VBN,O
23,Down,RP,O
24,Rod,NNP,O
24,Stewart,NNP,O
24,My,PRP$,B-TRACK
24,Way,NN,I-TRACK
24,Of,IN,I-TRACK
24,Giving,VBG,L-TRACK
25,Jurassic,NNP,O
25,5,CD,O
25,Concrete,NNP,B-TRACK
25,Schoolyard,NNP,L-TRACK
26, ,_SP,O
26,Avicii,NNP,O
26,Levels,NNP,U-TRACK
26,Radio,NNP,O
26,TEDDY,NNP,O
26, ,_SP,O
26,In,IN,O
26,auf,NNP,O
26,1029,CD,O
27,You,PRP,B-TRACK
27,Only,RB,I-TRACK
27,Live,VBP,I-TRACK
27,Once,IN,L-TRACK
27, ,_SP,O
27,The,DT,O
27,Strokes,NNPS,O
27,foooooooooooooda,VBP,O
28, ,_SP,O
28,Mark,NNP,O
28,Ronson,NNP,O
28,feat,NN,O
28,Amy,NNP,O
28,Winehouse,NNP,O
28,Valerie,NNP,U-TRACK
28,BB,NNP,O
28,RADIO,NNP,O
28, ,_SP,O
28,Voll,NNP,O
28,die,VBP,O
28,Vielfalt,NNP,O
29,Paseo,NNP,O
29,InmoralCerati,NNP,O
30, ,_SP,O
30,Emeli,NNP,O
30,Sande,NNP,O
30,Next,NNP,B-TRACK
30,To,IN,I-TRACK
30,Me,PRP,L-TRACK
30,Radio,NNP,O
30,TEDDY,NNP,O
30, ,_SP,O
30,In,IN,O
30,auf,NNP,O
30,917,CD,O
31,Luomo,NN,O
31,Good,NNP,B-TRACK
31,Stuff,NNP,L-TRACK
32, ,_SP,O
32,Medina,NNP,O
32,Forever,NNP,U-TRACK
32,BB,NNP,O
32,RADIO,NNP,O
32, ,_SP,O
32,In,IN,O
32,auf,NNP,O
32,1037,CD,O
33, ,_SP,O
33,Loreen,NNP,O
33,Euphoria,NNP,U-TRACK
33,BB,NN,O
33,RADIO,NNP,O
33, ,_SP,O
33,In,IN,O
33,auf,NNP,O
33,954,CD,O
34,Jessie,NNP,O
34,J,NNP,O
34,Domino,NNP,U-TRACK
35, ,_SP,O
35,BILLY,NNP,O
35,IDOL,NNP,O
35,Oh,UH,B-TRACK
35,christmas,NN,I-TRACK
35,tree,NN,L-TRACK
35,Radio,NNP,O
35,TEDDY,NNP,O
35, ,_SP,O
35,In,IN,O
35,auf,NNP,O
35,902,CD,O
